line,total_obs,zscore_anomaly_count,iforest_v5_anomaly_count,avg_iforest_v5_score,zscore_anomaly_rate,iforest_v5_anomaly_rate
TOKATKOY-BEYKOZ-UMRANIYE.DEV.HST,7396,16,112,0.43770821673017196,0.002163331530557058,0.015143320713899405
KEMERBURGAZ-AKPINAR KOYU,5581,138,84,0.4109692239480513,0.024726751478229708,0.0150510661171833
BASAKSEHIR 4.2.1. ETAP - MECIDIYEKOY,2397,32,36,0.41664521331408777,0.013350020859407593,0.015018773466833541
TURGUTREIS – MECIDIYEKOY,2674,57,40,0.40359339080387796,0.02131637995512341,0.014958863126402393
KURTULUS-DOLAPDERE-EMINONU,269,0,4,0.4137375441083974,0.0,0.01486988847583643
KAGITHANE-AKSARAY,1754,31,26,0.4106171631904775,0.01767388825541619,0.014823261117445839
KADIKOY-ALTBOSTANCI,4123,82,61,0.42322165381430105,0.019888430754305117,0.01479505214649527
MIMARSINAN MH. - TUZLA,4529,74,67,0.4193958231027826,0.016339147714727314,0.014793552660631487
FULYA/SISLI - KABATAS,1903,28,28,0.41869256079289674,0.014713610089332634,0.014713610089332634
HILTON SITESI-EMINONU,1703,22,25,0.41575832004632535,0.012918379330593071,0.014679976512037582
S.SAHINBEY-MECIDIYEKOY,9409,226,138,0.4094585678822775,0.024019555744499946,0.014666808374960144
SINPAS SIT.-SARIYER-4.LEVENT METRO,2250,52,33,0.405771702102867,0.02311111111111111,0.014666666666666666
ORTACESME-UMRANIYE,8379,18,122,0.4434544236174065,0.0021482277121374865,0.014560210048931854
CIFTLIKKOY-CATALCA,4681,73,68,0.42519023507532655,0.015594958342234566,0.014526810510574664
MESCIDI SELAM - BESIKTAS,7143,4,103,0.46254514367449734,5.599888002239956E-4,0.014419711605767885
OTOGAR - EMINONU,763,0,11,0.42515163908500064,0.0,0.014416775884665793
KAZIM KARABEKIR MAH.-SISLI,3610,62,52,0.4196730889056101,0.017174515235457065,0.014404432132963989
KABATAS-ADALAR,4448,47,64,0.4467964930734557,0.010566546762589928,0.014388489208633094
EVTAS BLOKLARI - UMRANIYE METRO / U.EGT.ARS.HASTAN,5841,127,84,0.4132014334511075,0.021742852251326827,0.014381099126861838
MIMARSINAN-AVCILAR METROBUS,4663,72,67,0.41332324599101805,0.015440703409822003,0.014368432339695475
UMRANIYE-ESATPASA-GOZTEPE,1624,17,23,0.4136378175733506,0.010467980295566502,0.01416256157635468
USKUDAR-CAVUSBASI/ KARANLIKDERE,10047,222,142,0.4066207981303007,0.022096148103911615,0.014133572210610132
