line,total_obs,zscore_anomaly_count,iforest_anomaly_count,avg_iforest_score,zscore_anomaly_rate,iforest_anomaly_rate
KADIKOY-GOZTEPE,8762,125,33,0.4018731246004229,0.014266149280986,0.0037662634101803
FATIH SULTAN MEHMET- SISLI,6662,23,25,0.4093746641885585,0.0034524166916841,0.0037526268387871
SULTANBYLI-ORMAN CAD.-UMRANIYE,7510,90,28,0.4065344593064305,0.0119840213049267,0.0037283621837549
INKILAP MAH.-KADIKOY,6773,12,25,0.4101487544303988,0.0017717407352724,0.0036911265318175
USKUDAR-S.GAZI EMEK MAH,8745,121,32,0.3997941780500252,0.0138364779874213,0.003659233847913
HADIMKOY- YENIBOSNA METRO,10449,120,38,0.4074227304815777,0.0114843525696238,0.0036367116470475
BOGAZKOY-BAHCESEHIR-YENIKAPI,11013,71,40,0.419687998073728,0.0064469263597566,0.0036320711885952
AYAZAGA KOYU-KAGITHANE-YENIKAPI,6608,27,24,0.4062869114374403,0.0040859564164648,0.0036319612590799
ATESTUGLA - BAKIRKOY,6895,13,25,0.4103547259679169,0.0018854242204496,0.0036258158085569
KARTAL-AYDOS HILAL KONUTLARI,6075,37,22,0.4124694411616812,0.0060905349794238,0.0036213991769547
YUNUS EMRE MAHALLESI-TOPKAPI,18265,264,65,0.401090058024831,0.0144538735286066,0.0035587188612099
GULBAG - EMINONU,5728,11,20,0.4100846890590465,0.0019203910614525,0.0034916201117318
SIRINTEPE-SISLI,6591,26,23,0.4147460984932638,0.0039447731755424,0.0034896070399028
EMNIYETTEPE -TAKSIM,6626,0,23,0.42225608617949,0.0,0.0034711741623905
BESIKTAS ULUS-ZINCIRLIKUYU-BESIKTAS,5207,62,18,0.3995884677729606,0.0119070482043403,0.0034568849625504
KARTAL METRO-TOPSELVI MAHALLESI/GULSUYU METRO,8395,71,29,0.4063658339100934,0.0084574151280524,0.0034544371649791
YUNUS EMRE MAHALLESI - BEYAZIT,10140,96,35,0.4029391268009625,0.0094674556213017,0.0034516765285996
KAGITHANE-CELIKTEPE-SISLI,6969,76,24,0.4028443767308077,0.0109054383699239,0.0034438226431338
SEHIR HASTANESI - YENIBOSNA METRO,6141,63,21,0.402241950719558,0.0102589154860771,0.003419638495359
ATAKOY - TAKSIM,7037,67,24,0.4054191747627433,0.009521102742646,0.0034105442660224
VEZNECILER - SISLI,6179,4,21,0.4135890686161504,0.0006473539407671144,0.0033986081890273
TASOLUK-FENERTEPE-METROKENT,11496,92,39,0.4081122191621821,0.0080027835768963,0.0033924843423799
KADIKOY-UNALAN MAH.,9449,123,32,0.4071228997590055,0.0130172505026986,0.0033866017567996
